epoch,batch,mean_grad_norm,std_grad
0,0,2.921297e-10,0.00011139094
0,1,2.2700988e-10,8.007503e-05
0,2,1.7462298e-10,3.804309e-05
0,3,3.430614e-10,8.521393e-05
0,4,2.597517e-10,6.3490384e-05
0,5,1.02227206e-10,2.9054874e-05
0,6,9.8953026e-11,0.00012176947
0,7,3.0117916e-10,0.00014232744
0,8,1.7462298e-10,0.00044412102
0,9,2.415618e-10,0.00026657147
0,10,2.4483598e-10,5.1269202e-05
0,11,1.3533281e-10,0.00016181989
0,12,1.6298145e-10,0.00026776144
0,13,2.386514e-10,0.0003060177
0,14,1.1186785e-10,3.0331603e-05
0,15,1.2505552e-10,2.0956168e-05
0,16,9.9771566e-11,3.4324425e-05
0,17,2.9001512e-10,2.4131898e-05
0,18,1.9135768e-10,9.222629e-05
0,19,2.1373125e-10,3.0142955e-05
0,20,8.440111e-11,0.00022671199
0,21,1.9299477e-10,3.556134e-05
0,22,6.87578e-11,7.5852964e-05
0,23,1.200533e-10,8.0317724e-05
0,24,2.226443e-10,0.0001906
0,25,9.094947e-11,7.308669e-05
0,26,2.386514e-10,0.00053174776
0,27,6.257324e-11,6.7277826e-05
0,28,1.8444553e-10,6.131325e-05
0,29,2.1391315e-10,7.639754e-05
0,30,1.9426807e-10,6.935435e-05
0,31,2.1609595e-10,2.8966972e-05
0,32,1.4551915e-10,0.00021995905
0,33,3.283276e-10,5.3937514e-05
0,34,6.5483617e-12,3.213163e-05
0,35,3.938112e-10,4.2676485e-05
0,36,2.5565897e-10,6.343919e-05
0,37,2.575689e-10,9.3354356e-05
0,38,1.6298145e-10,8.581888e-05
0,39,9.313226e-11,8.520632e-05
0,40,1.6771082e-10,4.8217415e-05
0,41,2.226443e-10,0.00013387312
0,42,2.413799e-10,4.825388e-05
0,43,3.949026e-10,4.92138e-05
0,44,1.5743354e-10,2.0680372e-05
0,45,1.5861587e-10,4.198936e-05
0,46,1.5133991e-10,0.0003288102
0,47,1.6789273e-10,2.404259e-05
0,48,2.8412614e-10,2.3184342e-05
0,49,2.222805e-10,4.1386837e-05
0,50,3.426976e-10,0.00011675563
0,51,3.1686795e-10,3.8089747e-05
0,52,1.9936124e-10,6.808107e-05
0,53,2.7994246e-10,8.430788e-05
0,54,1.0495569e-10,4.6459827e-05
0,55,2.564775e-10,0.00010666748
